"Q","Conc","Time","logQ","logConc"
20.9544663128212,41,1978.22328767123,3.04235181280271,3.71357206670431
24.6073394943806,58,1979.19315068493,3.20304475186989,4.06044301054642
5.66336927373547,120,1980.18989071038,1.73401899315253,4.78749174278205
10.2223815390925,44,1981.20684931507,2.32457958493738,3.78418963391826
73.0574636311876,32,1982.2095890411,4.29124630452016,3.46573590279973
24.2109036452191,37,1983.20410958904,3.18680309554126,3.61091791264422
23.1065466368407,47,1984.23633879781,3.1401159815686,3.85014760171006
66.8277574300786,29,1985.19315068493,4.20211852462415,3.36729582998647
83.817865251285,21,1986.22876712329,4.4286461739226,3.04452243772342
19.0289207597512,38,1987.23150684932,2.94595996712765,3.63758615972639
19.5669408407561,29,1988.20628415301,2.97384145037217,3.36729582998647
14.0734726452326,77,1989.22054794521,2.64429165270113,4.34380542185368
18.6608017569584,41,1990.23424657534,2.92642516110701,3.71357206670431
24.3808047234312,44,1991.21780821918,3.19379613103223,3.78418963391826
30.5821940781715,51,1992.21448087432,3.42041794672276,3.93182563272433
36.8119002792806,40.5,1994.20410958904,3.60582117005413,3.70130197411249
18.6324849105897,53.9,1995.21780821918,2.92490655792981,3.98713047791495
17.8112963658981,47,1996.21994535519,2.87983288330494,3.85014760171006
13.4221851787531,88.4,1998.19315068493,2.59690894829957,4.4818719696436
8.3817865251285,291,1999.18767123288,2.12606108092856,5.67332326717149
10.0807973072491,74.7,2000.20081967213,2.31063235745653,4.31348009213877
19.8784261508115,93.8,2001.19589041096,2.98963503063031,4.54116485601218
42.475269553016,49.7,2002.19589041096,3.7489220136948,3.90600493310258
3.39802156424128,141,2003.16849315068,1.22319336938654,4.94875989037817
88.9148975976469,60.5,2004.17896174863,4.4876797055068,4.1026433650368
58.6158719831621,48.1,2005.24520547945,4.07100551286391,3.87328217711172
